courseId,courseTitle,subTitle,courseLink,courseProvider,unitSold,soldOrEnq,offerPrice,originalPrice,haveCpd,cpdAccreditedBy,haveProfQual,isRegulated,awrBodyName,awrBodyQualName,courseLevel
162300,Food Hygiene Course - Level 2 ,"ROSPA Accredited, Institute of Hospitality Endorsed, CPD and Local Authority Approved",https://www.reed.co.uk/courses/food-hygiene-course-level-2/162300#/courses/discount?sortby=MostPopular,The Training Terminal,4472,"4,472 students purchased this course",12.0,30.0,no,missing,no,no,missing,missing,missing
140784,"Microsoft Excel Complete Course - Beginner, Intermediate & Advanced- CPD ",Student Discount Card Eligible | Lifetime Access | Online certified training |Online certificate and exam included,https://www.reed.co.uk/courses/microsoft-excel-complete-course-beginner-intermediate-advanced-cpd/140784#/courses/discount?sortby=MostPopular,Be-a.co.uk,11580,"11,580 students purchased this course",29.0,597.0,yes,The CPD Certification Service,no,no,missing,40 CPD points / hours,missing
197897,Project Management Course,Project Management Diploma Level 5 Endorsed by ABC Awards | CPD Accredited Certificate | 120 CPD Points,https://www.reed.co.uk/courses/project-management-course/197897#/courses/discount?sortby=MostPopular,CPD Courses,1550,"1,550 students purchased this course",10.0,760.0,yes,ABC Awards,yes,no,ABC Awards,Level 5 Diploma Project Management (Certificate of achievement),5.0
266620,Leadership & Management,Leadership & Management Level 7 | Endorsed by ABC Awards | 150 CPD Points | CPD Accredited Certificate,https://www.reed.co.uk/courses/leadership-management/266620#/courses/discount?sortby=MostPopular,CPD Courses,554,554 students purchased this course,10.0,1050.0,yes,ABC Awards,yes,no,ABC Awards,Level 7 Diploma Leadership & Management (endorsed certificate),7.0
188840,Basic Food Hygiene Certificate - Also known as Food Safety Level 2  ,"ROSPA Accredited, Institute of Hospitality Endorsed, CPD and Local Authority Approved",https://www.reed.co.uk/courses/basic-food-hygiene-certificate-also-known-as-food-safety-level-2/188840#/courses/discount?sortby=MostPopular,The Training Terminal,1897,"1,897 students purchased this course",12.0,30.0,no,missing,no,no,missing,missing,missing
228586,"Teaching Assistant Complete Course (TA, SEN, Autism, ADHD & Dyslexia) - CPD Certified",CPD approved training provider II Certificate Included II Become a Teaching Assistant,https://www.reed.co.uk/courses/teaching-assistant-complete-course-ta-sen-autism-adhd-dyslexia-cpd-certified/228586#/courses/discount?sortby=MostPopular,Janets,1666,"1,666 students purchased this course",10.0,1479.0,yes,The CPD Group,no,no,missing,40 CPD points / hours,missing
228135,Office Administration,Exam Included in Price | CPD & IAP Accredited | Free Career Support Service | Unlimited 12 months access,https://www.reed.co.uk/courses/office-administration/228135#/courses/discount?sortby=MostPopular,1 Training,1359,"1,359 students purchased this course",10.0,399.0,yes,The CPD Certification Service,no,no,missing,16 CPD points / hours,missing
247537,Microsoft Excel,"Microsoft Excel (TQUK Endorsed) complete course including essentials, advanced and expert level.",https://www.reed.co.uk/courses/microsoft-excel/247537#/courses/discount?sortby=MostPopular,Inspire London College Ltd,376,376 students purchased this course,10.0,595.0,no,Training Qualifications UK Ltd,yes,no,Training Qualifications UK Ltd,Microsoft Office Specialist (MOS) in Microsoft Excel,missing
77566,Classroom Behaviour Management Course - Level 3 CPD Accredited ,Summary,https://www.reed.co.uk/courses/classroom-behaviour-management-course-level-3-cpd-accredited/77566#/courses/discount?sortby=MostPopular,Oplex Careers,223,223 students purchased this course,19.0,249.99,yes,The CPD Certification Service,no,no,missing,7 CPD points / hours,missing
210657,Office Admin and Reception Skills,Exam Included in Price | CPD & IAP Accredited | Free Career Support Service | Unlimited 12 months access,https://www.reed.co.uk/courses/office-admin-and-reception-skills/210657#/courses/discount?sortby=MostPopular,1 Training,758,758 students purchased this course,10.0,349.0,yes,The CPD Certification Service,no,no,missing,16 CPD points / hours,missing
